Date,Price,Open,High,Low,Vol.,Change %
2019-04-24,"2,610","2,640","2,655","2,575",820.79K,-0.38%
2019-04-23,"2,620","2,570","2,620","2,530",1.38M,2.34%
2019-04-22,"2,560","2,515","2,570","2,515",551.06K,1.99%
2019-04-19,"2,510","2,510","2,540","2,490",304.10K,0.80%
2019-04-18,"2,490","2,505","2,585","2,485",1.07M,-0.60%
2019-04-17,"2,505","2,500","2,525","2,485",401.02K,1.42%
2019-04-16,"2,470","2,525","2,525","2,440",539.13K,-2.18%
2019-04-15,"2,525","2,580","2,580","2,490",630.08K,-1.17%
2019-04-12,"2,555","2,550","2,590","2,540",508.59K,-0.58%
2019-04-11,"2,570","2,580","2,630","2,565",896.82K,0.00%
2019-04-10,"2,570","2,570","2,595","2,550",560.60K,0.19%
2019-04-09,"2,565","2,630","2,650","2,560",1.03M,-2.84%
2019-04-08,"2,640","2,610","2,705","2,600",2.86M,3.13%
2019-04-05,"2,560","2,585","2,630","2,555",1.09M,-1.73%
2019-04-04,"2,605","2,570","2,665","2,560",1.97M,1.56%
2019-04-03,"2,565","2,585","2,635","2,540",2.71M,-0.97%
2019-04-02,"2,590","2,475","2,750","2,425",7.88M,5.71%
