날짜,시가*,고가,저가,종가**,거래량,시가총액
05-Jan-18,"\17,268,974.27","\19,754,905.66","\16,962,806.93","\19,447,289.13","\26,600,927,009,366","\326,411,565,812,293"
04-Jan-18,"\17,038,568.05","\17,561,863.53","\16,203,415.24","\17,405,098.04","\24,305,010,673,910","\292,103,003,632,924"
03-Jan-18,"\16,712,205.73","\17,375,641.32","\16,563,027.25","\16,960,798.76","\18,825,136,724,503","\284,610,887,158,159"
02-Jan-18,"\15,202,347.42","\17,232,599.56","\14,687,531.34","\16,716,556.58","\18,796,907,814,172","\280,479,587,648,480"
01-Jan-18,"\15,745,950.11","\15,745,950.11","\14,677,601.66","\15,238,275.39","\11,482,598,001,528","\255,643,963,372,781"
31-Dec-17,"\14,390,849.12","\16,041,852.16","\14,232,297.75","\15,795,267.30","\13,541,302,143,025","\264,956,914,243,628"
30-Dec-17,"\16,381,603.71","\16,381,603.71","\13,779,853.57","\14,451,658.51","\16,125,757,314,232","\242,389,354,862,040"
29-Dec-17,"\16,397,112.24","\17,047,828.71","\15,963,301.62","\16,352,928.24","\14,533,444,312,240","\274,248,823,460,054"
28-Dec-17,"\17,700,664.50","\17,727,778.55","\15,550,801.74","\16,297,474.32","\13,764,679,234,576","\273,285,012,988,007"
27-Dec-17,"\18,034,726.06","\18,890,967.33","\16,864,061.41","\17,672,101.26","\13,933,272,336,915","\296,302,590,394,594"
26-Dec-17,"\15,661,597.35","\18,366,889.50","\15,653,006.80","\17,963,651.38","\15,011,885,895,637","\301,154,996,384,845"
25-Dec-17,"\15,616,186.44","\16,282,411.44","\15,005,861.00","\15,650,439.66","\11,899,337,473,236","\262,347,153,566,246"
24-Dec-17,"\16,299,371.34","\16,319,231.81","\14,223,483.83","\15,537,970.40","\12,912,008,928,112","\260,436,198,512,110"
23-Dec-17,"\15,563,521.94","\17,409,561.12","\15,429,740.85","\16,400,906.29","\14,600,948,277,924","\274,868,721,948,950"
22-Dec-17,"\17,738,489.49","\17,789,145.82","\13,202,890.06","\15,433,088.15","\24,767,831,353,837","\258,622,092,700,660"
21-Dec-17,"\18,569,068.08","\19,601,487.48","\17,118,903.39","\17,632,380.33","\18,428,703,741,778","\295,442,867,778,855"
20-Dec-17,"\19,816,386.26","\20,010,974.56","\17,938,993.33","\18,549,206.53","\24,713,939,693,883","\310,773,877,251,088"
19-Dec-17,"\21,331,600.04","\21,397,988.27","\19,275,349.62","\19,834,683.12","\18,850,352,738,223","\332,277,072,499,185"
18-Dec-17,"\21,318,321.96","\21,613,553.90","\20,480,937.61","\21,327,023.65","\16,557,448,156,831","\357,240,456,893,117"
17-Dec-17,"\21,730,487.32","\22,414,675.77","\21,170,704.90","\21,356,704.84","\14,856,012,769,771","\357,689,275,187,910"
16-Dec-17,"\19,816,386.26","\21,999,274.24","\19,543,022.95","\21,754,587.49","\14,215,561,440,222","\364,301,227,052,317"
15-Dec-17,"\18,523,210.43","\20,255,774.63","\18,523,210.43","\19,756,803.78","\15,966,648,495,079","\330,805,445,558,704"
14-Dec-17,"\18,281,422.06","\19,063,800.33","\18,059,719.71","\18,481,591.39","\15,372,390,343,361","\309,414,182,628,394"
13-Dec-17,"\19,525,950.81","\19,696,774.55","\17,896,594.12","\18,307,753.77","\14,479,217,885,996","\306,461,047,676,842"
12-Dec-17,"\18,878,582.73","\19,840,375.28","\18,490,070.79","\19,431,557.23","\16,294,461,243,637","\325,228,628,115,405"
11-Dec-17,"\17,213,409.21","\19,541,460.43","\17,188,192.19","\18,897,550.80","\13,560,940,241,975","\316,253,332,699,118"
10-Dec-17,"\16,924,425.14","\17,685,601.62","\14,757,824.77","\17,244,650.73","\14,988,454,540,431","\288,554,940,382,287"
09-Dec-17,"\18,436,180.48","\18,725,944.72","\15,258,024.71","\16,935,359.46","\15,521,792,082,652","\283,345,072,021,618"
08-Dec-17,"\19,863,917.57","\20,478,148.19","\15,996,663.54","\18,487,616.97","\23,582,884,367,433","\309,275,177,367,806"
07-Dec-17,"\15,917,666.25","\19,971,922.66","\15,684,693.98","\19,971,922.66","\20,028,827,195,506","\334,067,109,488,925"
06-Dec-17,"\13,303,755.98","\16,032,590.41","\13,303,755.98","\15,946,007.20","\14,121,502,395,657","\266,695,965,890,690"
05-Dec-17,"\13,038,537.56","\13,424,928.01","\12,948,048.07","\13,296,280.11","\7,693,514,899,451","\222,348,529,644,799"
04-Dec-17,"\12,625,368.66","\13,006,738.15","\12,364,724.45","\13,006,738.15","\6,842,350,470,019","\217,477,535,778,388"
03-Dec-17,"\12,365,729.08","\13,231,565.53","\12,119,478.73","\12,634,071.43","\7,373,344,648,210","\211,217,665,984,523"
02-Dec-17,"\12,249,242.40","\12,630,724.13","\12,167,567.92","\12,356,690.70","\5,733,377,150,690","\206,553,361,654,825"
01-Dec-17,"\11,379,277.39","\12,325,561.41","\10,816,986.67","\12,246,229.61","\7,568,392,285,288","\204,681,798,970,187"
