날짜,종가,오픈,고가,저가,거래량,변동 %
2016년 12월 20일,"3,441","3,436","3,496","3,354",151.22K,-0.78%
2016년 12월 19일,"3,468","3,541","3,546","3,409",134.65K,-9.92%
2016년 12월 16일,"3,850","4,050","4,100","3,700",521.58K,-5.17%
2016년 12월 15일,"4,060","3,965","4,140","3,965",184.75K,1.88%
2016년 12월 14일,"3,985","4,195","4,240","3,985",515.18K,-7.43%
2016년 12월 13일,"4,305","4,550","4,555","4,250",370.40K,-6.41%
2016년 12월 12일,"4,600","4,425","4,745","4,380",270.32K,3.95%
2016년 12월 09일,"4,425","4,400","4,570","4,360",103.06K,0.00%
2016년 12월 08일,"4,425","4,580","4,650","4,410",84.33K,-1.67%
2016년 12월 07일,"4,500","4,800","4,800","4,460",263.15K,-6.25%
2016년 12월 06일,"4,800","5,110","5,200","4,760",144.90K,-4.57%
2016년 12월 05일,"5,030","5,290","5,400","5,030",77.42K,-5.98%
2016년 12월 02일,"5,350","4,845","5,450","4,845",180.05K,8.74%
2016년 12월 01일,"4,920","5,010","5,170","4,820",86.60K,-1.80%
2016년 11월 30일,"5,010","4,730","5,070","4,700",174.09K,8.32%
2016년 11월 29일,"4,625","4,950","4,950","4,450",197.45K,-6.19%
2016년 11월 28일,"4,930","5,050","5,050","4,880",75.83K,-1.99%
2016년 11월 25일,"5,030","4,880","5,080","4,675",168.38K,3.07%
2016년 11월 24일,"4,880","5,180","5,270","4,745",213.59K,-4.87%
2016년 11월 23일,"5,130","5,400","5,400","4,860",147.43K,-3.39%
2016년 11월 22일,"5,310","5,460","5,580","5,270",116.72K,-3.45%
2016년 11월 21일,"5,500","5,830","5,870","5,350",155.55K,-5.98%
2016년 11월 18일,"5,850","6,140","6,200","5,840",126.73K,-4.26%
2016년 11월 17일,"6,110","6,100","6,200","5,920",100.33K,1.66%
2016년 11월 16일,"6,010","5,610","6,280","5,610",189.59K,4.89%
2016년 11월 15일,"5,730","6,290","6,290","5,730",147.70K,-6.68%
2016년 11월 14일,"6,140","6,140","6,440","6,010",225.49K,0.00%
2016년 11월 13일,"6,140","6,140","6,140","6,140",1.00K,0.00%
2016년 11월 11일,"6,140","5,190","6,370","5,110",773.37K,15.41%
2016년 11월 10일,"5,320","5,150","5,520","5,150",169.50K,3.91%
2016년 11월 09일,"5,120","5,830","5,890","4,635",527.61K,-11.42%
2016년 11월 08일,"5,780","5,870","6,030","5,640",108.98K,0.70%
2016년 11월 07일,"5,740","5,610","5,840","5,430",183.84K,2.87%
2016년 11월 04일,"5,580","4,995","5,930","4,870",699.07K,11.71%
2016년 11월 03일,"4,995","4,810","5,280","4,810",236.63K,-0.30%
2016년 11월 02일,"5,010","5,910","5,980","4,935",331.32K,-14.65%
2016년 11월 01일,"5,870","5,980","6,120","5,580",274.31K,-1.84%
2016년 10월 31일,"5,980","6,500","6,580","5,920",284.10K,-9.53%
2016년 10월 28일,"6,610","6,860","6,860","6,500",114.89K,-1.64%
2016년 10월 27일,"6,720","7,030","7,200","6,710",182.53K,-5.49%
2016년 10월 26일,"7,110","7,340","7,380","6,610",155.00K,-1.52%
2016년 10월 25일,"7,220","7,560","7,650","7,110",146.92K,-4.50%
2016년 10월 24일,"7,560","7,590","7,840","7,420",240.37K,0.27%
2016년 10월 23일,"7,540","7,540","7,540","7,540",0.24K,0.00%
2016년 10월 21일,"7,540","7,370","7,680","6,850",398.63K,2.31%
2016년 10월 20일,"7,370","6,350","7,640","6,350",1.47M,18.11%
2016년 10월 19일,"6,240","8,200","8,240","6,040",776.30K,-23.53%
2016년 10월 18일,"8,160","8,200","8,290","7,960",126.54K,0.00%
2016년 10월 17일,"8,160","8,180","8,390","8,160",222.87K,0.49%
2016년 10월 14일,"8,120","8,120","8,300","8,010",255.55K,0.00%
2016년 10월 13일,"8,120","8,030","8,390","7,830",274.96K,1.12%
2016년 10월 12일,"8,030","7,900","8,560","7,650",504.17K,1.65%
2016년 10월 11일,"7,900","8,500","8,500","7,730",187.96K,-6.18%
2016년 10월 10일,"8,420","8,170","8,500","8,170",190.90K,3.06%
2016년 10월 09일,"8,170","8,170","8,170","8,170",0.73K,0.00%
2016년 10월 07일,"8,170","7,980","8,290","7,950",155.02K,1.11%
2016년 10월 06일,"8,080","8,250","8,400","7,990",216.31K,-2.42%
2016년 10월 05일,"8,280","8,450","8,450","8,200",157.26K,-2.01%
2016년 10월 04일,"8,450","8,280","8,580","8,140",342.05K,3.68%
2016년 09월 30일,"8,150","8,200","8,300","7,890",273.89K,0.25%
2016년 09월 29일,"8,130","8,190","8,330","7,910",316.89K,0.87%
2016년 09월 28일,"8,060","7,650","8,150","7,580",599.79K,5.22%
2016년 09월 27일,"7,660","7,240","7,760","7,090",241.60K,6.24%
2016년 09월 26일,"7,210","7,470","7,470","7,210",127.64K,-2.70%
2016년 09월 25일,"7,410","7,410","7,410","7,410",0.00K,0.00%
2016년 09월 23일,"7,410","7,380","7,620","7,300",199.02K,0.54%
2016년 09월 22일,"7,370","7,470","7,620","7,260",210.37K,-1.34%
2016년 09월 21일,"7,470","7,590","7,730","7,420",357.86K,0.00%
2016년 09월 20일,"7,470","7,250","7,470","7,100",279.84K,2.47%
2016년 09월 19일,"7,290","7,090","7,340","6,950",167.59K,3.11%
2016년 09월 18일,"7,070","7,070","7,070","7,070",1.03K,0.00%
2016년 09월 13일,"7,070","7,260","7,310","7,000",199.93K,-3.15%
2016년 09월 12일,"7,300","7,100","7,390","6,750",496.68K,0.00%
2016년 09월 11일,"7,300","7,300","7,300","7,300",0.31K,0.00%
2016년 09월 09일,"7,300","7,450","7,740","7,200",349.52K,-2.28%
2016년 09월 08일,"7,470","7,450","7,770","7,060",450.22K,1.36%
2016년 09월 07일,"7,370","7,230","7,390","7,000",321.63K,1.94%
2016년 09월 06일,"7,230","6,870","7,380","6,850",433.77K,5.24%
2016년 09월 05일,"6,870","7,030","7,170","6,760",114.97K,-3.24%
2016년 09월 02일,"7,100","7,260","7,260","6,950",145.26K,-2.20%
2016년 09월 01일,"7,260","7,340","7,430","7,260",147.70K,-0.82%
2016년 08월 31일,"7,320","7,260","7,440","7,210",166.64K,1.53%
2016년 08월 30일,"7,210","7,460","7,460","7,150",163.70K,-2.30%
2016년 08월 29일,"7,380","7,370","7,450","7,020",334.53K,0.27%
